"TIME","GEO","INDIC_HE","SEX","Value"
"2004","Belgium","Health expectancy in absolute values at birth ","Males","71.0"
"2004","Belgium","Health expectancy in absolute values at birth ","Females","74.6"
"2004","Bulgaria","Health expectancy in absolute values at birth ","Males",":"
"2004","Bulgaria","Health expectancy in absolute values at birth ","Females",":"
"2004","Czech Republic","Health expectancy in absolute values at birth ","Males",":"
"2004","Czech Republic","Health expectancy in absolute values at birth ","Females",":"
"2004","Denmark","Health expectancy in absolute values at birth ","Males","71.6"
"2004","Denmark","Health expectancy in absolute values at birth ","Females","74.2"
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","Males",":"
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","Females",":"
"2004","Estonia","Health expectancy in absolute values at birth ","Males","59.8"
"2004","Estonia","Health expectancy in absolute values at birth ","Females","67.0"
"2004","Ireland","Health expectancy in absolute values at birth ","Males","73.6"
"2004","Ireland","Health expectancy in absolute values at birth ","Females","77.8"
"2004","Greece","Health expectancy in absolute values at birth ","Males","71.4"
"2004","Greece","Health expectancy in absolute values at birth ","Females","73.9"
"2004","Spain","Health expectancy in absolute values at birth ","Males","68.7"
"2004","Spain","Health expectancy in absolute values at birth ","Females","71.2"
"2004","France","Health expectancy in absolute values at birth ","Males","69.7"
"2004","France","Health expectancy in absolute values at birth ","Females","74.8"
"2004","Croatia","Health expectancy in absolute values at birth ","Males",":"
"2004","Croatia","Health expectancy in absolute values at birth ","Females",":"
"2004","Italy","Health expectancy in absolute values at birth ","Males","71.9"
"2004","Italy","Health expectancy in absolute values at birth ","Females","74.5"
"2004","Cyprus","Health expectancy in absolute values at birth ","Males",":"
"2004","Cyprus","Health expectancy in absolute values at birth ","Females",":"
"2004","Latvia","Health expectancy in absolute values at birth ","Males",":"
"2004","Latvia","Health expectancy in absolute values at birth ","Females",":"
"2004","Lithuania","Health expectancy in absolute values at birth ","Males",":"
"2004","Lithuania","Health expectancy in absolute values at birth ","Females",":"
"2004","Luxembourg","Health expectancy in absolute values at birth ","Males","70.2"
"2004","Luxembourg","Health expectancy in absolute values at birth ","Females","72.8"
"2004","Hungary","Health expectancy in absolute values at birth ","Males",":"
"2004","Hungary","Health expectancy in absolute values at birth ","Females",":"
"2004","Malta","Health expectancy in absolute values at birth ","Males",":"
"2004","Malta","Health expectancy in absolute values at birth ","Females",":"
"2004","Netherlands","Health expectancy in absolute values at birth ","Males",":"
"2004","Netherlands","Health expectancy in absolute values at birth ","Females",":"
"2004","Austria","Health expectancy in absolute values at birth ","Males","70.6"
"2004","Austria","Health expectancy in absolute values at birth ","Females","74.9"
"2004","Poland","Health expectancy in absolute values at birth ","Males",":"
"2004","Poland","Health expectancy in absolute values at birth ","Females",":"
"2004","Portugal","Health expectancy in absolute values at birth ","Males","63.7"
"2004","Portugal","Health expectancy in absolute values at birth ","Females","63.2"
"2004","Romania","Health expectancy in absolute values at birth ","Males",":"
"2004","Romania","Health expectancy in absolute values at birth ","Females",":"
"2004","Slovenia","Health expectancy in absolute values at birth ","Males",":"
"2004","Slovenia","Health expectancy in absolute values at birth ","Females",":"
"2004","Slovakia","Health expectancy in absolute values at birth ","Males",":"
"2004","Slovakia","Health expectancy in absolute values at birth ","Females",":"
"2004","Finland","Health expectancy in absolute values at birth ","Males","69.0"
"2004","Finland","Health expectancy in absolute values at birth ","Females","74.7"
"2004","Sweden","Health expectancy in absolute values at birth ","Males","74.2"
"2004","Sweden","Health expectancy in absolute values at birth ","Females","76.7"
"2004","United Kingdom","Health expectancy in absolute values at birth ","Males",":"
"2004","United Kingdom","Health expectancy in absolute values at birth ","Females",":"
"2004","Iceland","Health expectancy in absolute values at birth ","Males","75.1"
"2004","Iceland","Health expectancy in absolute values at birth ","Females","75.3"
"2004","Norway","Health expectancy in absolute values at birth ","Males","72.9"
"2004","Norway","Health expectancy in absolute values at birth ","Females","75.1"
"2004","Switzerland","Health expectancy in absolute values at birth ","Males",":"
"2004","Switzerland","Health expectancy in absolute values at birth ","Females",":"
"2012","Belgium","Health expectancy in absolute values at birth ","Males","72.6"
"2012","Belgium","Health expectancy in absolute values at birth ","Females","75.8"
"2012","Bulgaria","Health expectancy in absolute values at birth ","Males","65.7"
"2012","Bulgaria","Health expectancy in absolute values at birth ","Females","70.2"
"2012","Czech Republic","Health expectancy in absolute values at birth ","Males","68.4"
"2012","Czech Republic","Health expectancy in absolute values at birth ","Females","71.7"
"2012","Denmark","Health expectancy in absolute values at birth ","Males","73.8"
"2012","Denmark","Health expectancy in absolute values at birth ","Females","76.3"
"2012","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","Males","73.3"
"2012","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","Females","76.4"
"2012","Estonia","Health expectancy in absolute values at birth ","Males","63.3"
"2012","Estonia","Health expectancy in absolute values at birth ","Females","69.9"
"2012","Ireland","Health expectancy in absolute values at birth ","Males","76.3"
"2012","Ireland","Health expectancy in absolute values at birth ","Females","80.9"
"2012","Greece","Health expectancy in absolute values at birth ","Males","72.7"
"2012","Greece","Health expectancy in absolute values at birth ","Females","75.4"
"2012","Spain","Health expectancy in absolute values at birth ","Males","74.2"
"2012","Spain","Health expectancy in absolute values at birth ","Females","77.5"
"2012","France","Health expectancy in absolute values at birth ","Males","73.3"
"2012","France","Health expectancy in absolute values at birth ","Females","77.8"
"2012","Croatia","Health expectancy in absolute values at birth ","Males","63.0"
"2012","Croatia","Health expectancy in absolute values at birth ","Females","65.6"
"2012","Italy","Health expectancy in absolute values at birth ","Males","72.6"
"2012","Italy","Health expectancy in absolute values at birth ","Females","74.5"
"2012","Cyprus","Health expectancy in absolute values at birth ","Males","73.5"
"2012","Cyprus","Health expectancy in absolute values at birth ","Females","75.8"
"2012","Latvia","Health expectancy in absolute values at birth ","Males","61.9"
"2012","Latvia","Health expectancy in absolute values at birth ","Females","68.6"
"2012","Lithuania","Health expectancy in absolute values at birth ","Males","60.3"
"2012","Lithuania","Health expectancy in absolute values at birth ","Females","65.3"
"2012","Luxembourg","Health expectancy in absolute values at birth ","Males","74.0"
"2012","Luxembourg","Health expectancy in absolute values at birth ","Females","77.0"
"2012","Hungary","Health expectancy in absolute values at birth ","Males","64.0"
"2012","Hungary","Health expectancy in absolute values at birth ","Females","67.1"
"2012","Malta","Health expectancy in absolute values at birth ","Males","76.4"
"2012","Malta","Health expectancy in absolute values at birth ","Females","79.1"
"2012","Netherlands","Health expectancy in absolute values at birth ","Males","76.1"
"2012","Netherlands","Health expectancy in absolute values at birth ","Females","78.5"
"2012","Austria","Health expectancy in absolute values at birth ","Males","72.6"
"2012","Austria","Health expectancy in absolute values at birth ","Females","76.1"
"2012","Poland","Health expectancy in absolute values at birth ","Males","64.3"
"2012","Poland","Health expectancy in absolute values at birth ","Females","69.3"
"2012","Portugal","Health expectancy in absolute values at birth ","Males","67.9"
"2012","Portugal","Health expectancy in absolute values at birth ","Females","68.4"
"2012","Romania","Health expectancy in absolute values at birth ","Males","66.2"
"2012","Romania","Health expectancy in absolute values at birth ","Females","70.1"
"2012","Slovenia","Health expectancy in absolute values at birth ","Males","69.3"
"2012","Slovenia","Health expectancy in absolute values at birth ","Females","72.5"
"2012","Slovakia","Health expectancy in absolute values at birth ","Males","65.1"
"2012","Slovakia","Health expectancy in absolute values at birth ","Females","68.7"
"2012","Finland","Health expectancy in absolute values at birth ","Males","73.6"
"2012","Finland","Health expectancy in absolute values at birth ","Females","78.6"
"2012","Sweden","Health expectancy in absolute values at birth ","Males","77.1"
"2012","Sweden","Health expectancy in absolute values at birth ","Females","80.1"
"2012","United Kingdom","Health expectancy in absolute values at birth ","Males","73.8"
"2012","United Kingdom","Health expectancy in absolute values at birth ","Females","76.2"
"2012","Iceland","Health expectancy in absolute values at birth ","Males","78.4"
"2012","Iceland","Health expectancy in absolute values at birth ","Females","78.8"
"2012","Norway","Health expectancy in absolute values at birth ","Males","75.3"
"2012","Norway","Health expectancy in absolute values at birth ","Females","78.6"
"2012","Switzerland","Health expectancy in absolute values at birth ","Males","78.6"
"2012","Switzerland","Health expectancy in absolute values at birth ","Females","82.3"
