"TIME","SEX","GEO","INDIC_HE","Value"
"2012","Males","Belgium","Health expectancy in absolute values at birth ","72.6"
"2012","Males","Bulgaria","Health expectancy in absolute values at birth ","65.7"
"2012","Males","Czech Republic","Health expectancy in absolute values at birth ","68.4"
"2012","Males","Denmark","Health expectancy in absolute values at birth ","73.8"
"2012","Males","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","73.3"
"2012","Males","Estonia","Health expectancy in absolute values at birth ","63.3"
"2012","Males","Ireland","Health expectancy in absolute values at birth ","76.3"
"2012","Males","Greece","Health expectancy in absolute values at birth ","72.7"
"2012","Males","Spain","Health expectancy in absolute values at birth ","74.2"
"2012","Males","France","Health expectancy in absolute values at birth ","73.3"
"2012","Males","Croatia","Health expectancy in absolute values at birth ","63.0"
"2012","Males","Italy","Health expectancy in absolute values at birth ","72.6"
"2012","Males","Cyprus","Health expectancy in absolute values at birth ","73.5"
"2012","Males","Latvia","Health expectancy in absolute values at birth ","61.9"
"2012","Males","Lithuania","Health expectancy in absolute values at birth ","60.3"
"2012","Males","Luxembourg","Health expectancy in absolute values at birth ","74.0"
"2012","Males","Hungary","Health expectancy in absolute values at birth ","64.0"
"2012","Males","Malta","Health expectancy in absolute values at birth ","76.4"
"2012","Males","Netherlands","Health expectancy in absolute values at birth ","76.1"
"2012","Males","Austria","Health expectancy in absolute values at birth ","72.6"
"2012","Males","Poland","Health expectancy in absolute values at birth ","64.3"
"2012","Males","Portugal","Health expectancy in absolute values at birth ","67.9"
"2012","Males","Romania","Health expectancy in absolute values at birth ","66.2"
"2012","Males","Slovenia","Health expectancy in absolute values at birth ","69.3"
"2012","Males","Slovakia","Health expectancy in absolute values at birth ","65.1"
"2012","Males","Finland","Health expectancy in absolute values at birth ","73.6"
"2012","Males","Sweden","Health expectancy in absolute values at birth ","77.1"
"2012","Males","United Kingdom","Health expectancy in absolute values at birth ","73.8"
"2012","Males","Iceland","Health expectancy in absolute values at birth ","78.4"
"2012","Males","Norway","Health expectancy in absolute values at birth ","75.3"
"2012","Males","Switzerland","Health expectancy in absolute values at birth ","78.6"
"2012","Females","Belgium","Health expectancy in absolute values at birth ","75.8"
"2012","Females","Bulgaria","Health expectancy in absolute values at birth ","70.2"
"2012","Females","Czech Republic","Health expectancy in absolute values at birth ","71.7"
"2012","Females","Denmark","Health expectancy in absolute values at birth ","76.3"
"2012","Females","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","76.4"
"2012","Females","Estonia","Health expectancy in absolute values at birth ","69.9"
"2012","Females","Ireland","Health expectancy in absolute values at birth ","80.9"
"2012","Females","Greece","Health expectancy in absolute values at birth ","75.4"
"2012","Females","Spain","Health expectancy in absolute values at birth ","77.5"
"2012","Females","France","Health expectancy in absolute values at birth ","77.8"
"2012","Females","Croatia","Health expectancy in absolute values at birth ","65.6"
"2012","Females","Italy","Health expectancy in absolute values at birth ","74.5"
"2012","Females","Cyprus","Health expectancy in absolute values at birth ","75.8"
"2012","Females","Latvia","Health expectancy in absolute values at birth ","68.6"
"2012","Females","Lithuania","Health expectancy in absolute values at birth ","65.3"
"2012","Females","Luxembourg","Health expectancy in absolute values at birth ","77.0"
"2012","Females","Hungary","Health expectancy in absolute values at birth ","67.1"
"2012","Females","Malta","Health expectancy in absolute values at birth ","79.1"
"2012","Females","Netherlands","Health expectancy in absolute values at birth ","78.5"
"2012","Females","Austria","Health expectancy in absolute values at birth ","76.1"
"2012","Females","Poland","Health expectancy in absolute values at birth ","69.3"
"2012","Females","Portugal","Health expectancy in absolute values at birth ","68.4"
"2012","Females","Romania","Health expectancy in absolute values at birth ","70.1"
"2012","Females","Slovenia","Health expectancy in absolute values at birth ","72.5"
"2012","Females","Slovakia","Health expectancy in absolute values at birth ","68.7"
"2012","Females","Finland","Health expectancy in absolute values at birth ","78.6"
"2012","Females","Sweden","Health expectancy in absolute values at birth ","80.1"
"2012","Females","United Kingdom","Health expectancy in absolute values at birth ","76.2"
"2012","Females","Iceland","Health expectancy in absolute values at birth ","78.8"
"2012","Females","Norway","Health expectancy in absolute values at birth ","78.6"
"2012","Females","Switzerland","Health expectancy in absolute values at birth ","82.3"
