"Ajdovšèina";695.29;731.76;803.17;861.14;875.66;917.59;953.70;922.82;927.51
"Beltinci";617.37;661.14;707.74;724.17;753.86;775.85;808.39;814.99;815.16
"Bled";688.76;727.13;791.68;889.74;899.51;925.35;949.81;950.62;961.79
"Bohinj";580.67;624.89;672.96;727.87;734.25;758.08;786.03;786.86;804.38
"Borovnica";661.44;735.66;748.78;778.49;749.44;809.60;838.54;894.98;894.02
"Bovec";628.66;670.72;724.52;772.68;780.04;823.11;877.79;872.98;935.95
"Brda";703.85;743.43;816.25;884.21;900.65;891.94;954.89;922.07;945.65
"Brezovica";616.01;658.79;731.18;782.18;814.13;866.96;889.30;897.60;894.70
"Brežice";664.84;701.55;756.91;819.61;861.18;887.33;912.24;906.13;904.73
"Tišina";769.22;776.73;799.86;776.10;815.11;942.75;946.05;914.11;912.51
"Celje";736.90;774.28;826.78;886.65;914.19;941.93;966.03;968.84;969.30
"Cerklje na Gorenjskem";994.07;1028.63;1065.88;1179.98;1147.61;1173.70;1182.71;1187.71;1378.65
"Cerknica";613.28;650.46;698.29;757.05;768.05;805.30;825.38;835.77;856.47
"Cerkno";664.83;697.00;747.03;766.10;769.57;807.70;827.47;847.27;863.34
"Èrenšovci";601.16;608.19;644.56;697.16;722.72;794.38;804.51;829.57;845.07
"Èrna na Koroškem";713.37;747.89;813.42;903.74;946.65;948.59;960.59;952.53;968.52
"Èrnomelj";632.86;680.57;726.76;777.31;775.43;830.53;846.10;875.68;878.96
"Destrnik";776.61;806.40;856.48;944.93;973.90;928.95;897.71;822.66;804.35
"Divaèa";740.32;780.37;834.96;896.44;906.62;935.88;982.75;948.12;914.29
"Dobrepolje";573.05;618.04;714.37;784.56;799.08;827.58;849.70;794.71;840.62
"Dobrova - Polhov Gradec";618.62;656.17;741.51;803.68;824.17;869.30;920.53;918.13;896.51
"Dol pri Ljubljani";832.33;869.42;955.73;1066.81;1032.91;1066.37;1119.90;1120.90;1075.58
"Domžale";690.60;732.13;804.62;860.05;878.63;921.47;944.38;961.04;961.45
"Dornava";725.15;747.51;760.53;827.92;900.91;889.97;873.81;882.92;882.93
"Dravograd";665.62;701.65;772.75;823.71;828.34;866.30;872.06;876.78;895.61
"Duplek";642.17;682.47;718.75;776.56;810.92;825.41;826.18;834.44;835.63
"Gorenja vas - Poljane";684.96;709.08;781.45;847.89;865.22;925.86;941.49;946.61;946.20
"Gorišnica";618.97;655.93;700.23;771.94;786.59;809.74;831.07;793.42;815.97
"Gornja Radgona";633.72;665.85;715.17;784.94;814.89;851.58;856.57;870.23;887.92
"Gornji Grad";611.62;629.97;676.63;750.66;777.55;806.27;814.05;820.54;849.17
"Gornji Petrovci";481.44;512.69;537.89;598.09;714.99;754.28;761.43;779.79;781.88
